Tag_ID,Tag_Name
47006,american-community-survey
47007,census
47008,education
47009,employment
47010,health-insurance
47011,healthcare
47012,income
47013,mortgage
47014,public-assistance
47015,rent
47016,retirement
47017,salary
47018,wage
47019,african-americans
47020,alaskan-natives
47021,american-natives
47022,analgesics
47023,asian-continental-ancestry-group
47024,continental-population-groups
47025,drug-overdose
47026,european-continental-ancestry-group
47027,health-us
47028,heroin
47029,hispanic-americans
47030,methadone
47031,mortality
47032,opioid
47033,sex
47034,archives
47035,family-history
47036,genealogy
47037,history
47038,nara
47039,national-archives
47040,social-media
47041,veterans
47042,hospitals-facilities
47043,inpatient
47044,medicare
47045,medicare-advantage
47046,original-medicare
47047,outpatient-facilities
47048,provider-enrollment
47049,audited-financial-statements
47050,bullion-sales
47051,circulating-coin-sales
47052,mda
47053,numismatic-sales
47054,program-overview
47055,animal-health
47056,biologics
47057,community-health
47058,drugs
47059,market
47060,medical-devices
47061,notifications
47062,airfares
47063,aviation
47064,aviation-policy
47065,city-pair
47066,city-summary
47067,consumer-airfare-report
47068,fare-levels
47069,fares
47070,office-of-aviation-analysis
47071,table-2
47072,2021-aerial
47073,2021-image
47074,aerial
47075,aerial-photography
47076,basemap
47077,dc
47078,dc-gis
47079,district-of-columbia
47080,imagery
47081,imagerybasemapsearthcover
47082,ortho
47083,orthophoto
47084,orthophotography
47085,picture
47086,planimetrics
47087,cder
47088,nhis
47089,summary-health-statistics
47090,none
47091,cta
47092,assets
47093,bank-account
47094,bank-service
47095,complaint
47096,consumer
47097,credit-card
47098,credit-report
47099,debt-collection
47100,finance
47101,money-transfer
47102,student-loan
47103,community-indicators
47104,county
